SCANNER,DESCRIPTION",FORMULA
DBA_MGH,"'A' and DBA","(log(GL) - 4.80662) / -1.07553"
HOWTEK_MGH,"'A' and HOWTEK","3.789 - 0.00094568 * GL"
LUMISYS_WFU,"'B' or 'C' and LUMISYS","(GL - 4096.99 ) / -1009.01"
HOWTEK_ISMD,"'D' and HOWTEK","3.96604095240593 + (-0.00099055807612) * (GL)"
